Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=0b47d02df0df9d1b,Research Commercial Controller - South K...,MERCK 서울,,forecasts and reports. Responsible for annual and longer-term budgets. Manage multiple profit or cost centers. Analyzing...
https://kr.indeed.com/viewjob?jk=1a6569e1e518b8e8,"Head of Startup Segment Sales, Korea",Amazon Web Services Korea LLC 서울,,pipeline. · Manage contract negotiations. · Develop long-term strategic relationships with key accounts. · Ensure customer...
https://kr.indeed.com/viewjob?jk=568dae016344ff1d,RISE Education Korea - Positions,Rise Korea 대한민국,,methods. New teachers will have opportunities to practice... teaching skills and gain confidence before starting the term.
https://kr.indeed.com/viewjob?jk=fa839fed02943ef7,"Technical Specialist, Professional Servi...",Google 4.3 서울,,customers attain... business goals while building long-term capabilities. Behind every advertising campaign at Google...
https://kr.indeed.com/viewjob?jk=b3dfea82ea438e8e,Storage Brand Sales Specialist,IBM 3.9 서울,,companies Consultative sales skill to generate short-term and long-term needs Knowledge on storage products - Flash storage...
https://kr.indeed.com/viewjob?jk=b79f3a9766b3dfae,"Director, Program management (Fresh Food...",Coupang 3.0 서울,,near and long-term business strategies... risk... ability to resolve long term problems. Preferred Qualifications...
https://kr.indeed.com/viewjob?jk=be9cafc81b8f2313,Medical Director,Roche 서울,,"across the organization Taking a long-term perspective to engage on strategic... affiliate long-term vision, · Ensure..."
https://kr.indeed.com/viewjob?jk=25e6afaf51b8ce7a,Account Manager,Bytedance 서울,,"Conduct regular business reviews and take a consultative, long-term approach to build productive relationships with clients..."
https://kr.indeed.com/viewjob?jk=7402942e265d5981,G&C Specialist,Diageo 4.0 대한민국,,Fixed-term Contract (7 months) OVERVIEW... fixed term temporary... Fixed Term Contract (Fixed Term) Primary...
https://kr.indeed.com/viewjob?jk=8721af41ec7d21b1,Senior Solution Sales Executive-ARIBA,SAP 4.3 서울,,"passionate about customer success, customer delight, and long-term customer relationships Outcome focused... role..."
https://kr.indeed.com/viewjob?jk=6678f1588c885238,[IBM Korea]Security Services - SOC Manag...,IBM 3.9 서울,,"apparent security breaches •Play a significant role in long-term SOC strategy and planning, including initiatives geared..."
https://kr.indeed.com/viewjob?jk=fd81935fb24a04db,HCI Sales Specialist,Hewlett Packard Enterprise 3.7 서울,,competitive attack account. Responsibilities: Develops long term sales pipeline to increase the company's market share...
https://kr.indeed.com/viewjob?jk=89a40df67719a854,Key Account Manager,Danfoss 서울,,key accounts focusing on Samsung and Hyundai by building long term strategic relationship Collaborate with business segments...
https://kr.indeed.com/viewjob?jk=31f2b33daad1b99c,Supervisory Environmental Protection Spe...,US Department of the Army 4.3 대한민국,,"accomplish projects; 4) and producing short-term and long term plans, policies and processes related to environmental..."
https://kr.indeed.com/viewjob?jk=582fc64da0ffdad1,KR_AH_CA Local Technical Manager (LTM),Boehringer Ingelheim 4.1 대한민국,,"humans and animals... family owned company, we focus on long term performance. We are powered by 50,000 employees globally..."
https://kr.indeed.com/viewjob?jk=32293bc9a2679c27,Financial Counselor SFL-TAP,YORKTOWN SYSTEMS GROUP INC 대한민국,,expenditures and recommendations for short- and long- term actions to achieve financial goals. Assist clients in managing...
https://kr.indeed.com/viewjob?jk=2f626c6537ac23b3,"Technical Solutions Architect, Service P...",Cisco Systems 4.1 서울,,while allowing local account team to maintain long-term ownership. In-depth industry knowledge... appropriate technology...
https://kr.indeed.com/viewjob?jk=6a4209c1a191cbad,INTERN - SCIENCE AND TECHNOLOGY [Tempora...,United Nations 인천,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=42c8ada0748e9e03,Business Development (Coupang Eats),Coupang 3.0 서울,,external partners and vice versa * Design a short-term and long-term business development plan (quantitative and qualitative...
https://kr.indeed.com/viewjob?jk=5c6723a17ad467f6,Solutions Architect - Amazon Connect,Amazon Web Services Korea LLC 서울,,"multiple components, channels and vendors, managing long term commitments and very complex pricing models, and scaling based..."
https://kr.indeed.com/viewjob?jk=8f6b847e044ebc2a,Agency Partnership Manager,Bytedance 서울,,"intelligence, to provide wide and also deep report, for long term partnership business strategy.Cross Team Collaboration..."
https://kr.indeed.com/viewjob?jk=02315cdb071d18fd,"Program Manager, Business Operations - S...",Airbnb 서울,,discussions and present on country-level short and long term strategy. * Support South Korea team in planning and budget...
https://kr.indeed.com/viewjob?jk=5479a070c97598dd,"Client Service Manager, Securities Servi...",JPMorgan Chase & Co-PL 서울,,"client management, cultivate long term partnership to become trusted advisors... cultivate long term partnership with key..."
